,interest,vacancy,consumer price index,price,value,adjusted_price,adjusted_value,next_year
9/22/2018,4.65,7.1,252.182,227258,229415.6166,90116.66178,90972.24092,93468.45796
9/29/2018,4.72,7.1,252.182,226364,229415.6166,89762.1559,90972.24092,93369.71902
10/6/2018,4.71,6.6,252.772,225549,230165.2955,89230.21537,91056.48391,93338.62014
10/13/2018,4.9,6.6,252.772,224553,230165.2955,88836.18439,91056.48391,93371.6627
10/20/2018,4.85,6.6,252.772,224226,230165.2955,88706.81879,91056.48391,93381.3811
10/27/2018,4.86,6.6,252.772,223926,230165.2955,88588.13476,91056.48391,92906.59922
11/3/2018,4.83,6.6,252.594,224660,230918.7649,88941.14666,91418.943,93131.57721
11/10/2018,4.94,6.6,252.594,224187,230918.7649,88753.88964,91418.943,93318.15378
11/17/2018,4.94,6.6,252.594,224881,230918.7649,89028.63884,91418.943,93527.4693
12/1/2018,4.81,6.6,252.594,223885,231723.9952,88634.33019,91737.72741,93832.55483
12/8/2018,4.75,6.6,252.767,224572,231723.9952,88845.45847,91674.93983,94072.67918
12/15/2018,4.63,6.6,252.767,224269,231723.9952,88725.58522,91674.93983,94162.77415
12/22/2018,4.62,6.6,252.767,224457,231723.9952,88799.96202,91674.93983,93412.91012
12/29/2018,4.55,6.6,252.767,224596,231723.9952,88854.95338,91674.93983,92898.31182
1/5/2019,4.51,7,252.718,223973,232695.3,88625.6618,92077.05822,92511.88054
1/12/2019,4.45,7,252.718,223009,232695.3,88244.20896,92077.05822,91825.87816
1/19/2019,4.45,7,252.718,223719,232695.3,88525.15452,92077.05822,91526.30705
1/26/2019,4.45,7,252.718,221421,232695.3,87615.84058,92077.05822,90932.23477
2/2/2019,4.46,7,252.718,221332,233822.5908,87580.62346,92523.1249,90842.35944
2/9/2019,4.41,7,253.322,218950,233822.5908,86431.49825,92302.52042,91740.72703
2/16/2019,4.37,7,253.322,217762,233822.5908,85962.5299,92302.52042,92404.95587
2/23/2019,4.35,7,253.322,218954,233822.5908,86433.07727,92302.52042,93935.86028
3/2/2019,4.35,7,253.322,220550,235013.7772,87063.10545,92772.74662,94599.49482
3/9/2019,4.41,7,254.202,224081,235013.7772,88150.76199,92451.58464,95753.20389
3/16/2019,4.31,7,254.202,226622,235013.7772,89150.36074,92451.58464,96806.57358
3/23/2019,4.28,7,254.202,228724,235013.7772,89977.26218,92451.58464,98416.19418
3/30/2019,4.06,7,254.202,230436,235013.7772,90650.74232,92451.58464,99300.64196
4/6/2019,4.08,6.8,255.211,231345,236076.1957,90648.5222,92502.35909,99666.91658
4/13/2019,4.12,6.8,255.211,232533,236076.1957,91114.01938,92502.35909,99223.71648
4/20/2019,4.17,6.8,255.211,234387,236076.1957,91840.4771,92502.35909,98842.99392
4/27/2019,4.2,6.8,255.211,234538,236076.1957,91899.64382,92502.35909,98022.02698
5/4/2019,4.14,6.8,255.29,238109,236868.2592,93270.00666,92783.99436,97383.02562
5/11/2019,4.1,6.8,255.29,239629,236868.2592,93865.40797,92783.99436,97066.45614
5/18/2019,4.07,6.8,255.29,241472,236868.2592,94587.33205,92783.99436,96970.31282
5/25/2019,4.06,6.8,255.29,243530,236868.2592,95393.47409,92783.99436,96919.67656
6/1/2019,3.99,6.8,255.29,244791,237564.2944,95887.42215,93056.63929,97313.0832
6/8/2019,3.82,6.8,255.159,246413,237564.2944,96572.33333,93104.41507,98479.29459
6/15/2019,3.82,6.8,255.159,247914,237564.2944,97160.59398,93104.41507,99426.4279
6/22/2019,3.84,6.8,255.159,249508,237564.2944,97785.3025,93104.41507,100744.9338
6/29/2019,3.73,6.8,255.159,250991,237564.2944,98366.50873,93104.41507,101890.2113
7/13/2019,3.75,6.8,255.685,251441,238205.1271,98340.1451,93163.51256,102885.6503
7/20/2019,3.81,6.8,255.685,251270,238205.1271,98273.26593,93163.51256,103772.2919
7/27/2019,3.75,6.8,255.685,249402,238205.1271,97542.67947,93163.51256,104323.2486
8/3/2019,3.75,6.8,256.059,249285,238909.4844,97354.51595,93302.51402,104419.6275
8/10/2019,3.6,6.8,256.059,248189,238909.4844,96926.4896,93302.51402,104887.2253
8/17/2019,3.6,6.8,256.059,246830,238909.4844,96395.75254,93302.51402,105163.6207
8/24/2019,3.55,6.8,256.059,245727,238909.4844,95964.99244,93302.51402,105088.4504
8/31/2019,3.58,6.8,256.059,244526,238909.4844,95495.95992,93302.51402,105203.2658
9/7/2019,3.49,6.8,256.511,243520,239529.8921,94935.49984,93379.96891,105107.8918
9/14/2019,3.56,6.8,256.511,242563,239529.8921,94562.41643,93379.96891,105482.0808
9/21/2019,3.73,6.8,256.511,241698,239529.8921,94225.19892,93379.96891,105280.1803
9/28/2019,3.64,6.8,256.511,240402,239529.8921,93719.95743,93379.96891,105331.4431
10/5/2019,3.65,6.4,257.244,240442,240394.0271,93468.45796,93449.80919,105075.1865
10/12/2019,3.57,6.4,257.244,240188,240394.0271,93369.71902,93449.80919,105274.5826
10/19/2019,3.69,6.4,257.244,240108,240394.0271,93338.62014,93449.80919,105571.1794
10/26/2019,3.75,6.4,257.244,240193,240394.0271,93371.6627,93449.80919,105969.5873
11/2/2019,3.78,6.4,257.244,240218,241570.0504,93381.3811,93906.97174,106142.3319
11/9/2019,3.69,6.4,257.803,239516,241570.0504,92906.59922,93703.35116,106182.2072
11/16/2019,3.75,6.4,257.803,240096,241570.0504,93131.57721,93703.35116,106583.2608
11/23/2019,3.66,6.4,257.803,240577,241570.0504,93318.15378,93703.35116,105896.5405
12/7/2019,3.68,6.4,258.616,241877,242952.9011,93527.4693,93943.49194,105659.9309
12/14/2019,3.73,6.4,258.616,242666,242952.9011,93832.55483,93943.49194,105406.9113
12/21/2019,3.73,6.4,258.616,243287,242952.9011,94072.67918,93943.49194,105138.2449
12/28/2019,3.74,6.4,258.616,243520,242952.9011,94162.77415,93943.49194,104527.2578
1/4/2020,3.72,6.6,259.037,241974,244475.5657,93412.91012,94378.62766,103895.2979
1/11/2020,3.64,6.6,259.037,240641,244475.5657,92898.31182,94378.62766,103696.5543
1/18/2020,3.65,6.6,259.037,239640,244475.5657,92511.88054,94378.62766,103494.3842
1/25/2020,3.6,6.6,259.037,237863,244475.5657,91825.87816,94378.62766,103147.154
2/1/2020,3.51,6.6,259.037,237087,245963.6209,91526.30705,94953.08427,102354.744
2/8/2020,3.45,6.6,259.248,235740,245963.6209,90932.23477,94875.80267,101859.3678
2/15/2020,3.47,6.6,259.248,235507,245963.6209,90842.35944,94875.80267,102841.0168
2/22/2020,3.49,6.6,259.248,237836,245963.6209,91740.72703,94875.80267,103621.6327
2/29/2020,3.45,6.6,259.248,239558,245963.6209,92404.95587,94875.80267,104652.0758
3/7/2020,3.29,6.6,258.124,242471,247511.6591,93935.86028,95888.66556,105556.1427
3/14/2020,3.36,6.6,258.124,244184,247511.6591,94599.49482,95888.66556,106380.5612
3/21/2020,3.65,6.6,258.124,247162,247511.6591,95753.20389,95888.66556,107289.913
3/28/2020,3.5,6.6,258.124,249881,247511.6591,96806.57358,95888.66556,108059.0243
4/4/2020,3.33,5.7,256.092,252036,248837.169,98416.19418,97167.09972,109169.0104
4/11/2020,3.33,5.7,256.092,254301,248837.169,99300.64196,97167.09972,110376.1203
4/18/2020,3.31,5.7,256.092,255239,248837.169,99666.91658,97167.09972,111253.6093
4/25/2020,3.33,5.7,256.092,254104,248837.169,99223.71648,97167.09972,111608.7299
5/2/2020,3.23,5.7,256.092,253129,249583.2756,98842.99392,97458.44291,111765.2099
5/9/2020,3.26,5.7,255.868,250807,249583.2756,98022.02698,97543.76304,112134.7469
5/16/2020,3.28,5.7,255.868,249172,249583.2756,97383.02562,97543.76304,112833.9616
5/23/2020,3.24,5.7,255.868,248362,249583.2756,97066.45614,97543.76304,113322.3317
5/30/2020,3.15,5.7,255.868,248116,249583.2756,96970.31282,97543.76304,113662.0848
6/6/2020,3.18,5.7,256.986,249070,250003.3062,96919.67656,97282.85052,114200.5995
6/13/2020,3.21,5.7,256.986,250081,250003.3062,97313.0832,97282.85052,115512.6978
6/20/2020,3.13,5.7,256.986,253078,250003.3062,98479.29459,97282.85052,115852.7345
6/27/2020,3.13,5.7,256.986,255512,250003.3062,99426.4279,97282.85052,115936.2535
7/4/2020,3.07,6.4,258.278,260202,250677.0226,100744.9338,97057.05582,116469.4367
7/11/2020,3.03,6.4,258.278,263160,250677.0226,101890.2113,97057.05582,116353.5273
7/18/2020,2.98,6.4,258.278,265731,250677.0226,102885.6503,97057.05582,116299.4363
7/25/2020,3.01,6.4,258.278,268021,250677.0226,103772.2919,97057.05582,115875.1711
8/1/2020,2.99,6.4,258.278,269444,252291.5532,104323.2486,97682.16929,114840.4002
8/8/2020,2.88,6.4,259.411,270876,252291.5532,104419.6275,97255.53395,114146.2968
8/15/2020,2.96,6.4,259.411,272089,252291.5532,104887.2253,97255.53395,114313.4093
8/22/2020,2.99,6.4,259.411,272806,252291.5532,105163.6207,97255.53395,113694.0668
8/29/2020,2.91,6.4,259.411,272611,252291.5532,105088.4504,97255.53395,113426.3652
9/5/2020,2.93,6.4,260.029,273559,255064.513,105203.2658,98090.79486,113727.0644
9/12/2020,2.86,6.4,260.029,273311,255064.513,105107.8918,98090.79486,113417.607
9/19/2020,2.87,6.4,260.029,274284,255064.513,105482.0808,98090.79486,113153.7653
9/26/2020,2.9,6.4,260.029,273759,255064.513,105280.1803,98090.79486,113185.149
10/3/2020,2.88,6.5,260.286,274163,258451.6897,105331.4431,99295.27125,111946.6082
10/10/2020,2.87,6.5,260.286,273496,258451.6897,105075.1865,99295.27125,112461.2147
10/17/2020,2.81,6.5,260.286,274015,258451.6897,105274.5826,99295.27125,112943.274
10/24/2020,2.8,6.5,260.286,274787,258451.6897,105571.1794,99295.27125,112751.2458
10/31/2020,2.81,6.5,260.286,275824,258451.6897,105969.5873,99295.27125,112073.7969
11/7/2020,2.78,6.5,260.813,276833,262282.4645,106142.3319,100563.4169,112131.9216
11/14/2020,2.84,6.5,260.813,276937,262282.4645,106182.2072,100563.4169,111832.8723
11/21/2020,2.72,6.5,260.813,277983,262282.4645,106583.2608,100563.4169,111567.9971
12/5/2020,2.71,6.5,262.035,277486,266016.0257,105896.5405,101519.2725,111915.8238
12/12/2020,2.71,6.5,262.035,276866,266016.0257,105659.9309,101519.2725,111716.0994
12/19/2020,2.67,6.5,262.035,276203,266016.0257,105406.9113,101519.2725,111043.2309
12/26/2020,2.66,6.5,262.035,275499,266016.0257,105138.2449,101519.2725,110501.8064
1/2/2021,2.67,6.5,262.035,273898,269606.8518,104527.2578,102889.6337,109912.2785
1/9/2021,2.65,6.8,262.65,272881,269606.8518,103895.2979,102648.7157,109655.3774
1/16/2021,2.79,6.8,262.65,272359,269606.8518,103696.5543,102648.7157,108639.8041
1/23/2021,2.77,6.8,262.65,271828,269606.8518,103494.3842,102648.7157,107534.1696
1/30/2021,2.73,6.8,262.65,270916,269606.8518,103147.154,102648.7157,106906.2928
2/6/2021,2.73,6.8,263.638,269846,273277.4342,102354.744,103656.3144,108036.9629
2/13/2021,2.73,6.8,263.638,268540,273277.4342,101859.3678,103656.3144,109916.3768
2/20/2021,2.81,6.8,263.638,271128,273277.4342,102841.0168,103656.3144,110255.9554
2/27/2021,2.97,6.8,263.638,273186,273277.4342,103621.6327,103656.3144,112057.1743
3/6/2021,3.02,6.8,264.914,277238,277108.8259,104652.0758,104603.315,113031.1822
3/13/2021,3.05,6.8,264.914,279633,277108.8259,105556.1427,104603.315,113878.2212
3/20/2021,3.09,6.8,264.914,281817,277108.8259,106380.5612,104603.315,115230.7007
3/27/2021,3.17,6.8,264.914,284226,277108.8259,107289.913,104603.315,116170.2083
4/3/2021,3.18,6.2,266.67,288161,281299.1422,108059.0243,105485.8598,117939.0252
4/10/2021,3.13,6.2,266.67,291121,281299.1422,109169.0104,105485.8598,118814.5982
4/17/2021,3.04,6.2,266.67,294340,281299.1422,110376.1203,105485.8598,119539.7958
4/24/2021,2.97,6.2,266.67,296680,281299.1422,111253.6093,105485.8598,119140.448
5/1/2021,2.98,6.2,266.67,297627,285947.7057,111608.7299,107229.0493,119030.5835
5/8/2021,2.96,6.2,268.444,300027,285947.7057,111765.2099,106520.431,119658.1842
5/15/2021,2.94,6.2,268.444,301019,285947.7057,112134.7469,106520.431,119681.8737
5/22/2021,3,6.2,268.444,302896,285947.7057,112833.9616,106520.431,118713.865
5/29/2021,2.95,6.2,268.444,304207,285947.7057,113322.3317,106520.431,118804.7963
6/5/2021,2.99,6.2,270.559,307523,290947.1113,113662.0848,107535.5509,119428.7614
6/12/2021,2.96,6.2,270.559,308980,290947.1113,114200.5995,107535.5509,119364.9738
6/19/2021,2.93,6.2,270.559,312530,290947.1113,115512.6978,107535.5509,119147.8244
6/26/2021,3.02,6.2,270.559,313450,290947.1113,115852.7345,107535.5509,118495.866
7/3/2021,2.98,5.8,271.764,315073,295434.6358,115936.2535,108709.9968,117632.0648
7/10/2021,2.9,5.8,271.764,316522,295434.6358,116469.4367,108709.9968,116447.1809
7/17/2021,2.88,5.8,271.764,316207,295434.6358,116353.5273,108709.9968,115284.3586
7/24/2021,2.78,5.8,271.764,316060,295434.6358,116299.4363,108709.9968,114148.3814
7/31/2021,2.8,5.8,271.764,314907,295434.6358,115875.1711,108709.9968,112872.4773
8/7/2021,2.77,5.8,272.87,313365,298623.6738,114840.4002,109438.0745,112547.7448
8/14/2021,2.87,5.8,272.87,311471,298623.6738,114146.2968,109438.0745,111912.8403
8/21/2021,2.86,5.8,272.87,311927,298623.6738,114313.4093,109438.0745,111324.3115
8/28/2021,2.87,5.8,272.87,310237,298623.6738,113694.0668,109438.0745,110955.0514
9/4/2021,2.87,5.8,274.028,310820,300570.0647,113426.3652,109685.8951,110558.8135
9/11/2021,2.88,5.8,274.028,311644,300570.0647,113727.0644,109685.8951,109793.3156
9/18/2021,2.86,5.8,274.028,310796,300570.0647,113417.607,109685.8951,109420.3461
9/25/2021,2.88,5.8,274.028,310073,300570.0647,113153.7653,109685.8951,108698.0305
10/2/2021,3.01,5.8,274.028,310159,302477.7616,113185.149,110382.0637,108321.504
10/9/2021,2.99,5.6,276.522,309557,302477.7616,111946.6082,109386.5087,108044.6462
10/16/2021,3.05,5.6,276.522,310980,302477.7616,112461.2147,109386.5087,107247.9672
10/23/2021,3.09,5.6,276.522,312313,302477.7616,112943.274,109386.5087,106250.5442
10/30/2021,3.14,5.6,276.522,311782,302477.7616,112751.2458,109386.5087,105399.9022
11/6/2021,3.09,5.6,278.711,312362,305063.9734,112073.7969,109455.3044,104818.8534
11/20/2021,3.1,5.6,278.711,312524,305063.9734,112131.9216,109455.3044,103321.1813
12/4/2021,3.11,5.6,280.887,314124,308251.3063,111832.8723,109742.1049,102881.7017
12/11/2021,3.1,5.6,280.887,313380,308251.3063,111567.9971,109742.1049,102877.6882
12/18/2021,3.12,5.6,280.887,314357,308251.3063,111915.8238,109742.1049,103044.249
12/25/2021,3.05,5.6,280.887,313796,308251.3063,111716.0994,109742.1049,102200.7425
1/1/2022,3.11,5.6,280.887,311906,312636.3434,111043.2309,111303.2442,101785.8094
1/8/2022,3.22,5.8,282.599,312277,312636.3434,110501.8064,110628.9631,101325.2988
1/15/2022,3.45,5.8,282.599,310611,312636.3434,109912.2785,110628.9631,101010.5279
1/22/2022,3.56,5.8,282.599,309885,312636.3434,109655.3774,110628.9631,100350.7067
1/29/2022,3.55,5.8,282.599,307015,312636.3434,108639.8041,110628.9631,99814.68467
2/5/2022,3.55,5.8,284.61,306053,317888.2876,107534.1696,111692.5925,99665.50416
2/12/2022,3.69,5.8,284.61,304266,317888.2876,106906.2928,111692.5925,100787.01
2/19/2022,3.92,5.8,284.61,307484,317888.2876,108036.9629,111692.5925,102556.6223
2/26/2022,3.89,5.8,284.61,312833,317888.2876,109916.3768,111692.5925,104016.4608
3/5/2022,3.76,5.8,287.472,316955,324063.2008,110255.9554,112728.6138,105423.9782
3/12/2022,3.85,5.8,287.472,322133,324063.2008,112057.1743,112728.6138,106331.5088
3/19/2022,4.16,5.8,287.472,324933,324063.2008,113031.1822,112728.6138,107285.0952
3/26/2022,4.42,5.8,287.472,327368,324063.2008,113878.2212,112728.6138,107783.0939
4/2/2022,4.67,5.8,287.472,331256,330234.7173,115230.7007,114875.4373,108284.4202
4/9/2022,4.72,5.6,288.611,335280,330234.7173,116170.2083,114422.0828,108975.3663
4/16/2022,5,5.6,288.611,340385,330234.7173,117939.0252,114422.0828,109317.373
4/23/2022,5.11,5.6,288.611,342912,330234.7173,118814.5982,114422.0828,110167.7682
4/30/2022,5.1,5.6,288.611,345005,330234.7173,119539.7958,114422.0828,110721.2803
5/7/2022,5.27,5.6,291.268,347018,335749.599,119140.448,115271.7082,110928.9996
5/14/2022,5.3,5.6,291.268,346698,335749.599,119030.5835,115271.7082,112186.5253
5/21/2022,5.25,5.6,291.268,348526,335749.599,119658.1842,115271.7082,112541.6263
5/28/2022,5.1,5.6,291.268,348595,335749.599,119681.8737,115271.7082,113496.8618
6/4/2022,5.09,5.6,294.728,349883,340359.3992,118713.865,115482.5464,114301.559
6/11/2022,5.23,5.6,294.728,350151,340359.3992,118804.7963,115482.5464,114961.1145
6/18/2022,5.78,5.6,294.728,351990,340359.3992,119428.7614,115482.5464,115438.9961
6/25/2022,5.81,5.6,294.728,351802,340359.3992,119364.9738,115482.5464,115676.2912
7/2/2022,5.7,5.6,294.728,351162,342781.9276,119147.8244,116304.5003,115942.6052
7/9/2022,5.3,6,294.628,349122,342781.9276,118495.866,116343.9753,115659.0482
7/16/2022,5.51,6,294.628,346577,342781.9276,117632.0648,116343.9753,115678.7625
7/23/2022,5.54,6,294.628,343086,342781.9276,116447.1809,116343.9753,114952.9486
7/30/2022,5.3,6,294.628,339660,342781.9276,115284.3586,116343.9753,114225.0766
8/6/2022,4.99,6,295.32,337103,343150.6791,114148.3814,116196.2208,113638.011
8/13/2022,5.22,6,295.32,333335,343150.6791,112872.4773,116196.2208,113429.0444
8/20/2022,5.13,6,295.32,332376,343150.6791,112547.7448,116196.2208,113107.1052
8/27/2022,5.55,6,295.32,330501,343150.6791,111912.8403,116196.2208,112620.6048
9/3/2022,5.66,6,296.539,330120,341891.6651,111324.3115,115293.9968,112008.5469
9/10/2022,5.89,6,296.539,329025,341891.6651,110955.0514,115293.9968,111322.3256
9/17/2022,6.02,6,296.539,327850,341891.6651,110558.8135,115293.9968,110519.6744
9/24/2022,6.29,6,296.539,325580,341891.6651,109793.3156,115293.9968,110201.2807
10/1/2022,6.7,6,296.539,324474,340680.9939,109420.3461,114885.7297,109875.5278
